Individual	PopName
Z_explorator_Fiji_KU117421_	explorator
Z_flavifrons_Vanuatu_AMNHDOT21455_	flavifrons
Z_griseotinctus_Louisiade_2003067_	griseotinctus
Z_hamlini_Bougainville_KU5627_	hamlini
Z_kulambangrae_Kohingo_UWBM76279_	kulambangrae
Z_kulambangrae_Kolombangara_MSB55148_	kulambangrae
Z_kulambangrae_Kolombangara_MSB56001_	kulambangrae
Z_kulambangrae_Kolombangara_UWBM76372_	kulambangrae
Z_luteirostris_Gizo_AMNHDOT113_	luteirostris
Z_luteirostris_Gizo_KU131357_	luteirostris
Z_luteirostris_Gizo_KU131358_	luteirostris
Z_metcalfii_Choiseul_KU131310_	metcalfii_c
Z_metcalfii_Choiseul_KU32056_	metcalfii_c
Z_metcalfii_Choiseul_UWBM63219_	metcalfii_c
Z_metcalfii_Isabel_KU133485_	metcalfii_i
Z_metcalfii_Isabel_KU34869_	metcalfii_i
Z_metcalfii_Isabel_MSB55274_	metcalfii_i
Z_metcalfii_Ngella_KU34483_	metcalfii_n
Z_metcalfii_Ngella_KU34491_	metcalfii_n
Z_metcalfii_Ngella_MSB55184_	metcalfii_n
Z_metcalfii_Shortland_KU131274_	metcalfii_s
Z_metcalfii_Shortland_KU131283_	metcalfii_s
Z_metcalfii_Shortland_KU32096_	metcalfii_s
Z_murphyi_Kolombangara_AMNHDOT187_	murphyi
Z_murphyi_Kolombangara_KU135018_	murphyi
Z_murphyi_Kolombangara_MSB55991_	murphyi
Z_oblitus_Guadalcanal_KU132010_	oblitus
Z_oblitus_Guadalcanal_KU132011_	oblitus
Z_oblitus_Guadalcanal_KU32795_	oblitus
Z_rendovae_Makira_KU35017_	rendovae
Z_rendovae_Makira_KU98859_	rendovae
Z_rendovae_Makira_MSB55389_	rendovae
Z_splendidus_Ranongga_AMNHDOT174_	splendidus
Z_splendidus_Ranongga_KU133143_	splendidus
Z_splendidus_Ranongga_MSB55026_	splendidus
Z_stresemanni_Malaita_KU113194_	stresemanni
Z_stresemanni_Malaita_KU131770_	stresemanni
Z_stresemanni_Malaita_KU32763_	stresemanni
Z_teteparius_Rendova_KU33262_	teteparius_r
Z_teteparius_Rendova_MSB55809_	teteparius_r
Z_teteparius_Rendova_MSB55823_	teteparius_r
Z_tetiparius_Tetepare_MSB55901_	teteparius_t
Z_tetiparius_Tetepare_MSB55908_	teteparius_t
Z_tetiparius_Tetepare_UWBM76327_	teteparius_t
Z_vellalavella_VellaLavella_AMNHDOT167_	vellalavella
Z_vellalavella_VellaLavella_KU133145_	vellalavella
Z_vellalavella_VellaLavella_MSB55087_	vellalavella
